Bundesland;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Baden-Württemberg;4514132;4597215;4970285;4953434;5044799;4800079;4657398;4362031;4439106;4253648
Bayern;5307129;5233681;5196197;5087506;4892143;4916025;4882711;4703267;4665790;4487593
Berlin;;;;;;;;;;
Brandenburg;1203906;1152346;1058451;1065339;1178898;1285880;1238008;1209780;1539742;1432160
Bremen;676830;726818;793730;855561;616823;45032;3420;0;0;0
Hamburg;1153;1214;938;912;3;1;2;6;0;0
Hessen;537160;516657;497117;468629;436313;408719;381998;371481;388355;374697
Mecklenburg-Vorpommern;503343;476203;440842;425159;344880;474054;482124;235934;32918;32853
Niedersachsen;18186160;18932129;18997616;18956993;19535842;18930104;18352475;17905768;17724689;16890326
Nordrhein-Westfalen;19763385;19466812;19417502;19794615;19418329;19171733;18572228;18336793;16953631;17078306
Rheinland-Pfalz;1166414;1144668;1187330;1219067;1221317;1233065;1233661;1245596;1218129;1206760
Saarland;12553;9109;8379;8838;9094;8248;8204;8032;8088;7783
Sachsen;150958;138211;135834;136925;135187;129014;123700;120810;152331;186147
Sachsen-Anhalt;4209037;4434495;4685884;4754699;4895765;5133400;4942422;4633413;4843256;4570786
Schleswig-Holstein;716814;626803;497251;634911;686254;908617;1136821;1212702;1166492;1177031
Thüringen;1416892;1298765;1047595;1072761;1064821;964399;880057;849196;244338;176551
